NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR  , OMSET , PAJAK 1% ,POT 2% LJU,5% UJ GRB, SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,MBAH MAN (SILOG)/DO,PEMBAYARAN,CATATAN,TOLERANSI MUATAN 0.3%,KLAIM 
117,"Selasa, 4 Agustus 2026","Kamis, 6 Agustus 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"32,18","31,84","  6.263.987,64 ","  62.639,88 ",,,"3.200.000,00","2.779.617,76","0,097","0,34","243.460,00","121.730,00",Belum Potong,"50.000,00","0,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 340kg, 32.18 jadi 31,84",,
118,"Jumat, 7 Agustus 2026","Sabtu, 8 Agustus 2026",BOJONEGORO,EDOMIX KIRUN TANGGUH (BOJONEGORO),82.906,"34,24","34,24","  2.838.701,44 ","  28.387,01 ",,,"1.250.000,00","1.400.314,43","0,103","0,00","0,00","0,00",-,"20.000,00","60.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,,,
119,"Senin, 10 Agustus 2026","Selasa, 11 Agustus 2026",SEMARANG,VUB BP SEMARANG (SEMARANG),116.554,"31,38","31,38","  3.657.464,52 ","  36.574,65 ",,,"2.000.000,00","1.520.889,87","0,094","0,00","0,00","0,00",-,"35.000,00","0,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,,,
120,"Kamis, 13 Agustus 2026","Selasa, 18 Agustus 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"36,24","36,24","  4.223.916,96 ","  42.239,17 ",,,"2.000.000,00","1.791.677,79","0,109","0,00","0,00","0,00",-,"35.000,00","140.000,00",Disimpan,"150.000,00",Sudah dibayar 20 Agst 26,"100.000,00",Disimpan,"100.000,00",Disimpan,,,,,
121,"Kamis, 20 Agustus 2026","Minggu, 23 Agustus 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),177.561,"33,36","33,02","  5.863.064,22 ","  58.630,64 ",,,"3.000.000,00","2.554.433,58","0,100","0,34","239.920,00","119.960,00",Belum Potong,"50.000,00","100.000,00",Disimpan,"50.000,00",Sudah dibayar 26 Agst 26,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 1.720kg, 33.36 jadi 31.64, dibantu proses muatan slatiga berikutnya",,
122,"Selasa, 25 Agustus 2026","Kamis, 27 Agustus 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),177.561,"35,24","35,24","  6.257.249,64 ","  62.572,50 ",,,"3.000.000,00","2.894.677,14","0,106","0,00","0,00","0,00",-,"50.000,00","200.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Lebih 1.380kg, 35.36 jadi 36.62 untuk proses minus Salatiga 1.7ton",,
123,"Jumat, 28 Agustus 2026","Senin, 31 Agustus 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),177.561,"35,36","34,82","  6.182.674,02 ","  61.826,74 ",,,"3.000.000,00","2.820.847,28","0,106","0,54","433.920,00","216.960,00",Belum Potong,"50.000,00","150.000,00",Disimpan,"50.000,00",Sudah dibayar 2 Spt 26,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 540kg, 35.36 jadi 34.82",,
124,"Rabu, 2 September 2026","Jumat, 4 September 2026",TRIPILAR (REMBANG SALATIGA),TRIPILAR BETON MAS (SALATIGA),153.791,"32,24","32,10","  4.936.691,10 ","  49.366,91 ",,,"2.600.000,00","2.070.684,19","0,097","0,14","43.280,00","21.640,00",Belum Potong,"45.000,00","45.000,00",Disimpan,"50.000,00",Sudah dibayar 5 Spt 26,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 140kg, 32.24 jadi 32,1",,
125,"Sabtu, 5 September 2026","Minggu, 6 September 2026",TRIPILAR (REMBANG SALATIGA),TRIPILAR BETON MAS (SALATIGA),153.791,"32,38","32,38","  4.979.752,58 ","  49.797,53 ",,,"2.600.000,00","2.184.955,05","0,097","0,00","0,00","0,00",-,"45.000,00","45.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Lebih 200kg, 32,38 jadi 32,58",,
126,"Senin, 7 September 2026","Selasa, 8 September 2026",TRIPILAR (REMBANG SALATIGA),TRIPILAR BETON MAS (SALATIGA),153.791,"34,80","34,80","  5.351.926,80 ","  53.519,27 ",,,"2.600.000,00","2.413.407,53","0,104","0,00","0,00","0,00",-,"45.000,00","135.000,00",Disimpan,"50.000,00",Sudah dibayar 10 Spt 26,Tidak potong,-,"100.000,00",Disimpan,,,"Lebih 60kg, 34.80 jadi 34.86",,
127,"Kamis, 10 September 2026","Jumat, 11 September 2026",TRIPILAR (REMBANG SALATIGA),TRIPILAR BETON MAS (SALATIGA),153.791,"33,66","33,66","  5.176.605,06 ","  51.766,05 ",,,"2.600.000,00","2.334.839,01","0,101","0,00","0,00","0,00",-,"45.000,00","90.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Lebih 180kg, 33,66 jadi 33,84",,
128,"Sabtu, 12 September 2026",,TRIPILAR (REMBANG SALATIGA),TRIPILAR BETON MAS (SALATIGA),153.791,"32,58","32,58","  5.010.510,78 ","  50.105,11 ",,,"2.600.000,00","2.170.405,67","0,098","0,00","0,00","0,00",-,"45.000,00","90.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Lebih 180kg, 33,66 jadi 33,84",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"4.313,18","643.754.231,83","5.060.621,78",,,"302.024.000,00","306.705.180,04",,,"4.815.820,00","2.049.350,00","692.730,00",,"12.435.000,00","1.695.000,00","2.100.000,00","0,00","2.100.000,00","300.000,00","12.800.000,00","3.000.000,00","1.400.000,00","0,00",,,"1257,56"
,,,,,,,,,,,,,,,,,klaim 805.530+2.060 HWT sudah (April Mei),,,,,,,Tab diambil untuk Bando variasi 1 juta,,,,,,,,
,Bagi Hasil 25 Jul-31 Agu 2025,,,,,,Profit Mas Dhian,,,,,,,,,,Yono belum potong smp juni,,,,5740000,,,Tab 12 Mei 26 bayar Bando,,,,,,,,
,Pemasukkan ,,"25.600.611,51",,,,"15.131.694,33",,,,,Bulan ,Pemasukkan ,Pengeluaran ,Profit,,Sudah potong smp 15 juni 2 juta,,,Pinjam,300.000,,,,,,,,,,,
,Pengeluaran 25 Jul-31 Agu,,"8.496.400,00",,,,,,,,,Juni,"8.566.773,66",,,,,,,Cat Bumper,200.000,,,,,,,,,,,
,Komisi Hafidz ,,"500.000,00",,,,,,,,,Juli,"20.786.258,44","6.610.600,00","14.175.658,44",,,,,Mas Yono,5240000,Sudah di TF 17 MARET 26,,,,,,,,,,
,Pembagian 50jt/580jt,"0,08620689655","16.604.211,51",OK Deal,,,,,,130500000,,Agustus,"20.762.471,45","6.440.900,00","14.321.571,45",,,,,,,,,,,,,,,,,
,,,"1.431.397,54",,,,,,,,,September,"23.302.092,13","7.551.152,00","15.750.940,13",,,,,,,,,,,,,,,,,
,Pembagian 50jt/600jt,"0,08333333333","16.604.211,51",,,,,,,,,Oktober,"26.479.815,89","12.600.977,01","13.878.838,88",,,,,,,,,,,,,,,,,
,,,"1.383.684,29",,,,,,,,,November,"21.092.644,88","5.000.000,00","16.092.644,88",,,,,,,,,,,,,,,,,
,Profit Hafidz 50/580,,"13.741.416,42",,,,,,,,,Desember,"21.096.046,32","4.974.539,00","16.121.507,32",,,,,,,,,,,,,,,,,
,Profit Hafidz 50/600,,"13.836.842,92",,,,,,,,,Januari,"18.505.586,66","7.668.600,00","10.836.986,66",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Februari,"21.465.748,87","10.702.600,00","10.763.148,87",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Maret ,"13.129.920,74","4.725.600,00","8.404.320,74",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,April,"22.461.074,33","2.773.600,00","19.687.474,33",Klaim ,"Rp805.530,00",,,,,,,,,,,,,,,
,,,,,,,,,,,,Mei,"22.238.211,67","12.058.600,00","10.179.611,67",Klaim,"Rp2.060,00",,,,,,,,,,,,,,,
,,,,,,,,,,,,Juni,"20.061.437,68","5.000.000,00","15.061.437,68",Klaim Sudah Masuk Rumus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Juli,"19.820.348,01","13.631.840,00","6.188.508,01",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Agustus,"15.762.457,85","2.523.600,00","13.238.857,85",,,,,,,,,,,,,,,,,
,SIMULASI,,,,,,,,,,,September ,"11.174.291,46",,"11.174.291,46",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"20.000.000,00",,,,,,,,,,"306.705.180,04","102.262.608,01","195.875.798,37",,,,,,,,,,,,,,,,,
,Pengeluaran,,"5.000.000,00",,,,,,,,,,,,,13631840,,,,,,,,,,,,,,,,
,,,"15.000.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"750.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembagian 50jt/580jt,"0,08620689655","14.250.000,00","15.000.000,00",Tanpa Profit Hafidz,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.228.448,28","1.293.103,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembagian 75jt/580jt,"0,1293103448","14.250.000,00","15.000.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.842.672,41","1.939.655,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pembagian 4jt/580jt,"0,006896551724","14.250.000,00","15.000.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"98.275,86","103.448,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"11.694.827,59","12.310.344,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-30 Sep 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"23.302.092,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Sep 2025,,"7.429.052,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"15.873.040,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"793.652,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","15.079.388,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.299.947,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","15.079.388,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.949.920,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan 25-30 Sep 2025,,"3.810.598,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 25-30 Sep 2025,,"680.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3.130.598,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"156.529,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 4jt/580jt,"0,006896551724","2.974.069,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"20.510,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"11.809.009,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"12.602.661,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"15.873.040,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revisi Bagi Hasil 1-30 Sep 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"23.302.092,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Sep 2025,,"7.551.152,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"15.750.940,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"787.547,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","14.963.393,12",Revisi Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.289.947,68","9.999,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","14.963.393,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.934.921,52","14.999,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan 25-30 Sep 2025,,"3.810.598,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 25-30 Sep 2025,,"680.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3.130.598,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"156.529,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 4jt/580jt,"0,006896551724","2.974.069,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"20.510,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"11.718.013,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"12.505.560,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"15.750.940,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Okt 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"28.133.013,54",,,Revisi,"26.479.815,89",,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Okt 2025,,"12.600.977,01",,,,"12.600.977,01",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"15.532.036,53",,,,"13.878.838,88",Revisi OKT ke 2,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"776.601,83",,,,"693.941,94","-82.659,88",,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","14.755.434,70",Didapat (dikurangi Revisi Sep),,,"13.184.896,94",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.272.020,23","1.262.020,66",,,"1.136.629,05","-125.391,62",,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","14.755.434,70",,,,"13.184.896,94",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.908.030,35","1.893.031,00",,,"1.704.943,57","-188.087,43",,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 4jt/580jt,"0,006896551724","14.755.434,70",,,,"13.184.896,94",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"101.761,62",,,,"90.930,32","-10.831,29",,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"11.473.622,50",,,,"10.252.394,00",,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"12.250.224,33",,,,"10.946.335,94",,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"15.532.036,53",,,,"13.878.838,88",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-30 Nov 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"21.092.644,88",,Lebih,,Perbaikkan,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-30 Nov 2025,,"3.430.939,00","5.000.000,00",Deal,,"1.569.061,00",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"17.661.705,88","16.092.644,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"883.085,29","804.632,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","16.778.620,58","15.288.012,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.446.432,81","1.317.932,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","16.778.620,58","16.092.644,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2.169.649,21","2.080.945,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 4jt/580jt,"0,006896551724","16.778.620,58","15.288.012,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"115.714,62","105.434,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"13.046.823,94","11.783.700,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"13.929.909,23","12.588.332,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"17.661.705,88","16.092.644,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Des 2025,,,Didapat Dikurangi,,,Revisi 4 Maret 26 (tidak revisi feb 26),,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"21.096.046,32",Revisi OKT ke 2,,,"21.096.046,32",Revisi OKT ke 2,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Des 2025,,"4.974.539,00",,,,"5.034.539,00",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"16.121.507,32",,,,"16.061.507,32",,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"806.075,37",,,,"803.075,37",,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","15.315.431,96","-125.391,62",,,"15.258.431,96","-125.391,62",,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.320.295,86","1.194.904,24",,,"1.315.382,07","1.189.990,45","4.913,79",,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","15.315.431,96","-188.087,43",,,"15.258.431,96","-188.087,43",,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.980.443,79","1.792.356,36",,,"1.973.073,10","1.784.985,67","7.370,69",,,,,,,,,,,,,,,,,,,,,,,
,Hadid 9jt/580jt,"0,01551724138","15.315.431,96","-10.831,29",,,"15.258.431,96","-10.831,29",,,,,,,,,,,,,,,,,,,,,,,,
,,,"237.653,25","226.821,96",,,"236.768,77","225.937,48","884,48",,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"11.777.039,06",,,,"11.733.208,02",,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"12.583.114,42",,,,"12.536.283,39",,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"16.121.507,32",,,,"16.061.507,32",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Jan 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"18.505.586,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Jan 2026,,"7.668.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"10.836.986,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"541.849,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","10.295.137,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"887.511,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","10.295.137,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.331.267,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 9jt/580jt,"0,01551724138","10.295.137,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"159.752,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"7.916.605,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"8.458.454,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"10.836.986,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-28 Feb 2026,,,,,,Revisi 3 April 26 (Tambah ke April),,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"21.413.658,88",,,,"21.465.748,87",,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-28 Feb 2026,,"10.702.600,00",Klaim 629.000,,,"10.702.600,00",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"10.711.058,88",,,,"10.763.148,87",,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"535.552,94",,,,"538.157,44",,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","10.175.505,94",,,,"10.224.991,43",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"877.198,79",,,,"881.464,78","4.265,99",,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","10.175.505,94",,,,"10.224.991,43",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.315.798,18",,,,"1.322.197,17","6.398,99",,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 9jt/580jt,"0,01551724138","10.175.505,94",,,,"10.224.991,43",,,,,,,,,,,,,,,,,,,,,,,,,
,,,"157.895,78",,,,"158.663,66","767,88",,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"7.824.613,19",,,,"7.862.665,82",,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"8.360.166,13",,,,"8.400.823,27",,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"10.711.058,88",,,,"10.763.148,87",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-31 Mar 2026,,,Ditambah Revisi 3 April 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"13.129.920,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-31 Mar 2026,,"4.725.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"8.404.320,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"420.216,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","7.984.104,70","4265,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"688.284,89","692.550,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","7.984.104,70","6398,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.032.427,33","1.038.826,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 9jt/580jt,"0,01551724138","7.984.104,70","767,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"123.891,28","124.659,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"6.139.501,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"6.559.717,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"8.404.320,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagi Hasil 1-30 Apr 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"22.461.074,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran 1-30 Apr 2026,,"2.773.600,00",Klaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"18.881.944,33",805530,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"944.097,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfiah Richi 50jt/580jt,"0,08620689655","17.937.847,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.546.366,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","17.937.847,11",23 April 26 mas Dhian keluar 25juta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2.319.549,20",30 April 26 mas Dhian keluar 25juta sisa 25 juta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hadid 9jt/580jt,"0,01551724138","17.937.847,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"278.345,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit Hafidz,,"13.793.585,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit+Komisi,,"14.737.683,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koreksi Profit Total,,"18.881.944,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan 1-23 Apr 2026 Mas Dhian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"15.914.358,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran ,,"2.723.600,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"12.513.138,68","677.620,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komisi Hafidz ,5%,"625.656,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mas Dhian 75jt/580jt,"0,1293103448","11.887.481,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1.537.174,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan 24-30 Apr 2026 Mas Dhian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemasukkan ,,"6.546.715,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
